City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,miquelon,47.0975,-56.3814,277.15,94,100,13.36,PM,1715549691
159,mufumbwe,-13.6833,24.8,295.37,42,84,2.62,ZM,1715549691
160,acarau,-2.8856,-40.12,299.01,89,100,4.12,BR,1715549487
161,flying fish cove,-10.4217,105.6791,298.97,94,75,4.63,CX,1715549692
162,touros,-5.1989,-35.4608,300.25,80,12,5.07,BR,1715549692
163,balqash,46.8481,74.995,288.89,47,100,5.88,KZ,1715549692
164,isafjordur,66.0755,-23.124,277.17,81,75,7.72,IS,1715549692
165,eirunepe,-6.6603,-69.8736,301.84,74,100,1.12,BR,1715549693
166,koutiala,12.3917,-5.4642,307.33,31,92,3.62,ML,1715549693
167,kalmunai,7.4167,81.8167,300.81,80,100,2.42,LK,1715549693
168,dudinka,69.4058,86.1778,271.3,95,100,4.92,RU,1715549693
169,taroa,8.7058,171.2275,301.03,82,68,7.86,MH,1715549693
170,petropavlovsk-kamchatsky,53.0452,158.6483,276.73,66,100,6.0,RU,1715549694
171,kempsey,-31.0833,152.8333,287.56,86,1,0.76,AU,1715549694
172,puerto cabezas,14.0351,-83.3888,305.13,74,75,3.09,NI,1715549694
173,pangoa,-12.1167,-73.0,297.82,89,87,0.54,PE,1715549694
174,zaozersk,69.4005,32.4476,274.05,98,100,0.95,RU,1715549694
175,yanchep,-31.55,115.6833,293.22,37,100,3.35,AU,1715549695
176,sherbakul',54.6316,72.3963,287.32,41,82,7.2,RU,1715549695
177,vadso,70.0744,29.7487,277.64,81,75,1.54,NO,1715549695
178,tofol,5.3248,163.0078,301.78,78,19,6.14,FM,1715549695
179,hobyo,5.3505,48.5268,301.7,83,100,7.37,SO,1715549696
180,gizo,-8.103,156.8419,301.28,80,72,5.13,SB,1715549696
181,alo,7.4178,6.7371,299.25,88,98,0.45,NG,1715549696
182,tazovsky,67.4667,78.7,271.37,93,100,5.49,RU,1715549696
183,vryheid,-27.7695,30.7917,287.2,96,100,1.29,ZA,1715549696
184,hermanus,-34.4187,19.2345,285.82,82,1,4.64,ZA,1715549697
185,belyy yar,53.6039,91.3903,279.09,100,35,1.0,RU,1715549697
186,utrik,11.2278,169.8474,300.27,78,100,8.25,MH,1715549697
187,moyale,3.5167,39.0584,293.42,73,89,1.38,KE,1715549697
188,scottburgh,-30.2867,30.7532,291.83,90,100,1.83,ZA,1715549698
189,bubaque,11.2833,-15.8333,299.79,76,1,7.36,GW,1715549698
190,nemuro,43.3236,145.575,282.15,99,100,12.34,JP,1715549698
191,luderitz,-26.6481,15.1594,287.65,74,0,3.87,NA,1715549698
192,gorontalo,0.5412,123.0595,297.27,95,66,1.03,ID,1715549699
193,la libertad,-2.2333,-80.9,299.96,74,40,4.12,EC,1715549699
194,pontianak,-0.0333,109.3333,298.14,100,94,1.54,ID,1715549699
195,sinabang,2.4803,96.3801,298.5,90,100,2.24,ID,1715549699
196,taitung city,22.7583,121.1444,298.65,85,55,5.7,TW,1715549699
197,taoudenni,22.6783,-3.9836,307.97,9,2,5.48,ML,1715549700
198,kyren,51.6828,102.1408,283.12,90,100,3.58,RU,1715549700
199,beberibe,-4.1797,-38.1306,299.14,87,60,3.03,BR,1715549700
200,ancud,-41.8697,-73.8203,280.52,71,90,1.89,CL,1715549700
201,karratha,-20.7377,116.8463,295.68,79,0,3.16,AU,1715549700
202,cape coast,5.1053,-1.2466,298.06,95,100,7.67,GH,1715549701
203,calabozo,8.9242,-67.4293,306.52,41,85,2.75,VE,1715549701
204,ntoum,0.3833,9.7833,298.92,93,100,1.15,GA,1715549701
205,puerto carreno,6.189,-67.4859,303.14,74,20,2.57,CO,1715549701
206,polyarnyy,69.1989,33.4478,274.25,99,100,0.72,RU,1715549702
207,al muwayh,22.4333,41.7583,303.96,29,51,5.22,SA,1715549702
208,luz,-19.8014,-45.6856,295.84,56,1,0.7,BR,1715549702
209,fale old settlement,-9.3852,-171.2468,301.88,78,52,6.8,TK,1715549703
210,kruisfontein,-34.0033,24.7314,286.42,89,1,1.98,ZA,1715549703
211,klyuchi,52.2667,79.1667,284.44,44,1,3.52,RU,1715549703
212,trekhgornyy,54.815,58.4592,274.88,97,100,2.27,RU,1715549704
213,ivdel',60.6911,60.4206,274.83,77,100,1.79,RU,1715549704
214,nefta,33.8731,7.8777,301.29,23,99,3.53,TN,1715549705
215,phu khiao,16.3765,102.1285,301.86,67,92,1.17,TH,1715549705
216,adre,13.4667,22.2,303.55,12,100,4.03,TD,1715549705
217,sayansk,54.1088,102.1648,277.22,67,10,1.13,RU,1715549705
218,sosnogorsk,63.6023,53.8817,269.01,96,63,2.24,RU,1715549706
219,cedral,23.8,-100.7333,308.01,10,42,7.03,MX,1715549706
220,brandon,27.9378,-82.2859,306.64,53,0,2.57,US,1715549411
221,malvan,16.0667,73.4667,301.64,78,56,4.5,IN,1715549706
222,springs,-26.25,28.4,290.05,79,84,4.49,ZA,1715549707
223,phan thiet,10.9333,108.1,299.48,86,98,2.83,VN,1715549707
224,taltal,-25.4,-70.4833,290.36,70,3,2.52,CL,1715549707
225,porto murtinho,-21.6989,-57.8825,301.01,49,22,1.6,BR,1715549708
226,ramapuram,13.1167,79.2,300.28,81,15,2.73,IN,1715549708
227,las heras,-46.5419,-68.9359,275.14,70,93,3.2,AR,1715549708
228,guerrero negro,27.9769,-114.0611,292.82,65,6,8.44,MX,1715549708
